division,product_code,product,total_sold_quantity,rank_order
N & S,A6819160203,AQ Pen Drive DRC,676245,3
N & S,A6818160202,AQ Pen Drive DRC,688003,2
N & S,A6720160103,AQ Pen Drive 2 IN 1,701373,1
P & A,A2319150302,AQ Gamers Ms,428498,1
P & A,A2520150501,AQ Maxima Ms,419865,2
P & A,A2520150504,AQ Maxima Ms,419471,3
PC,A4218110202,AQ Digit,17434,1
PC,A4319110306,AQ Velocity,17280,2
PC,A4218110208,AQ Digit,17275,3
,,,,
,,,,
division,product_code,product,total_sold_quantity,rank_order
N & S,A6720160103,AQ Pen Drive 2 IN 1,701.37K,1
N & S,A6818160202,AQ Pen Drive DRC,688.0K,2
N & S,A6819160203,AQ Pen Drive DRC,676.25K,3
,,,,
,,,,
division,product_code,product,total_sold_quantity,rank_order
P & A,A2319150302,AQ Gamers Ms,428.50K,1
P & A,A2520150501,AQ Maxima Ms,419.87K,2
P & A,A2520150504,AQ Maxima Ms,419.47K,3
,,,,
,,,,
division,product_code,product,total_sold_quantity,rank_order
PC,A4218110202,AQ Digit,17.43K,1
PC,A4319110306,AQ Velocity,17.28K,2
PC,A4218110208,AQ Digit,17.28K,3
